"listing_id","description","host_id","host_name","nbhood_full","coordinates","room_type","price","nb_reviews","last_review","reviews_per_month","availability_365","avg_rating","avg_stays_per_month","pct_5_stars","listing_added"
26386759,"Cozy and extremely well located Bushwick room",86892036,"Michael","Brooklyn, Bushwick","(40.70103, -73.91901)","Private room","$50",5,"07/29/2018",0.41,0,3.26010820708226,6,0.695174184733789,"01/23/2018"
34446664,"Home away from home",260038086,"Kimberly","Queens, Laurelton","(40.6688, -73.74384)","Entire home/apt","$254",2,"06/03/2019",1.46,24,3.75080424673137,2.4,0.773228861545362,"11/28/2018"
18048473,"#3 Private  Quadruple  Room  20mnts from Manhattan",42093468,"Tsotne (Tut)","Bronx, Mott Haven","(40.81217, -73.91776999999998)","Private room","$41",21,"06/20/2019",0.78,334,4.31545482961319,25.2,0.637313277724092,"12/15/2018"
6336480,"Available in August only. One room with twin bed.",12459436,"Zena","Queens, Flushing","(40.73627000000001, -73.81305)","Private room","$49",0,NA,NA,27,NA,NA,NA,"06/01/2018"
20572019,"Brooklyn home available",145219249,"Dovber","Brooklyn, Crown Heights","(40.66592, -73.94266)","Entire home/apt","$350",0,NA,NA,0,NA,NA,NA,"07/20/2018"
35831474,"Large Apt with Patio, walking to Times Square!!!!!",79008205,"Josh","Manhattan, Midtown","(40.75225, -73.97107)","Entire home/apt","$165",0,NA,NA,330,NA,NA,NA,"10/14/2018"
21698446,"Private Room In Manhattan!",32798079,"Mike & Kevin","Manhattan, Harlem","(40.81691, -73.93735)","Private room","$98",94,"07/03/2019",4.65,117,3.03504585229363,112.8,0.649443557464123,"12/28/2018"
33635065,"Sonder | Stock Exchange | Cozy 1BR + Laundry",219517861,"Sonder (NYC)","Manhattan, Financial District","(40.7071, -74.01194)","Entire home/apt","$230",6,"06/20/2019",2.28,327,4.20322512094626,7.2,0.690439170361735,"12/15/2018"
1479113,"Spacious, quiet room with private full bathroom.",176836,"Gil","Manhattan, Lower East Side","(40.71501, -73.98061)","Private room","$49",90,"01/01/2019",1.29,0,3.34761033172306,108,0.705861733832894,"06/28/2018"
14817574,"Spacious Room in the heart of Greenwich Village!",88398053,"Colleen","Manhattan, Greenwich Village","(40.72807, -73.99925)","Private","$99",5,"08/20/2017",0.15,0,4.84774865180939,6,0.637712307595443,"02/14/2017"
26398320,"Cozy room w/ private balcony and incredible views!",45448756,"Lucia","Manhattan, East Village","(40.72777, -73.98568)","Private room","$99",5,"05/20/2019",0.43,11,3.411370409685,6,0.674273362622927,"11/14/2018"
6654984,"Beautiful apartment in trendy Brooklyn",5417600,"Elvira","Brooklyn, Park Slope","(40.67376, -73.98397)","Entire home/apt","$200",4,"06/16/2018",0.14,173,3.08865149328737,4.8,0.641003468194546,"12/11/2017"
20655740,"Penthouse Studio with Queen Bed & Private Rooftop",6655660,"Kate","Manhattan, Lower East Side","(40.71798, -73.98418000000002)","Entire home/apt","$275",17,"05/22/2019",0.76,171,3.62023079261399,20.4,0.606602359501438,"11/16/2018"
21324522,"Brownstone Duplex with Private Outdoor Patio!",12337318,"Andrew","Manhattan, Harlem","(40.82296, -73.94545)","Entire home/apt","$200",38,"06/10/2019",1.89,101,4.18576490068106,45.6,0.639607277080185,"12/05/2018"
35389003,"Live good live cheap in Manhattan",109231531,"Sophia","Manhattan, Washington Heights","(40.84414, -73.94099)","Private room","$90",0,NA,NA,179,NA,NA,NA,"05/23/2018"
9823806,"Spacious 1BD-1 Block to Bedford L!",18195071,"Ben","Brooklyn, Williamsburg","(40.71481, -73.95475)","Entire home/apt","$160",0,NA,NA,0,NA,NA,NA,"06/16/2018"
11532518,"1 Bedroom Apt East Village/USQ",24319977,"Charles","Manhattan, East Village","(40.72895, -73.98558)","Entire home/apt","$200",0,NA,NA,0,NA,NA,NA,"07/01/2018"
13885982,"The Bushwick Museum",11841497,"Amanda","Brooklyn, Bushwick","(40.70112, -73.93086)","Private room","$55",3,"07/29/2016",0.08,0,3.20763717654639,3.6,0.730139624332857,"01/24/2016"
23514583,"Luxury High Line Chelsea Doorman, Roof Deck/Gym",19043062,"Regi","Manhattan, Chelsea","(40.74057, -74.00263000000002)","Entire home/apt","$150",21,"06/19/2019",1.46,5,4.96909265951782,25.2,0.867752482253591,"12/14/2018"
25328184,"Bedstuy Fly!  Two Bedroom Garden Apartment.",1417893,"Ingrid","Brooklyn, Bedford-Stuyvesant","(40.68902, -73.92838)","Entire home/apt","$160",52,"06/22/2019",3.9,37,4.41813367700428,62.4,0.703345262789394,"12/17/2018"
34365364,"Warm, Comfortable, and Joyful Loft in Brooklyn",68869481,"Geraldine","Brooklyn, Gowanus","(40.67152, -73.98991)","Entire home/apt","$180",3,"06/23/2019",2.09,5,3.63525506827575,3.6,0.729901515503388,"12/18/2018"
19171670,"Cozy private bedroom with Queen size bed & closet.",132485563,"Ali","Manhattan, Upper East Side","(40.77226, -73.95983000000003)","Private room","$115",11,"10/23/2018",0.5,67,3.0430681632051,13.2,0.716743486740961,"04/19/2018"
9230738,"Charming 1-bed apt w/ private deck",4031222,"Romain","Manhattan, Upper West Side","(40.77431, -73.97883)","Entire home/apt","$185",14,"04/21/2019",0.38,4,3.59926491555352,16.8,0.732165699211793,"10/16/2018"
2574386,"Luxury Apt - west village/Chelsea",9090698,"G","Manhattan, Chelsea","(40.74311, -74.00718)","Entire home/apt","$275",2,"10/05/2014",0.03,365,3.29284404039263,2.4,0.679146847060434,"04/01/2014"
6445656,"Big Room in Heart of Williamsburg",13873277,"Elan","Brooklyn, Williamsburg","(40.71599000000001, -73.95539000000002)","Private room","$100",0,NA,NA,0,NA,NA,NA,"05/10/2018"
9073600,"Upper East Side 2 Bedroom Sleeps 4",6942997,"Deborah","Manhattan, Upper East Side","(40.7834, -73.94556)","Entire home/apt","$95",0,NA,NA,0,NA,NA,NA,"06/29/2018"
31055254,"In the heart of midtown manhattan - CONVENIENCE",69446035,"Michael","Manhattan, Midtown","(40.75094, -73.98100000000002)","Entire home/apt","$100",0,NA,NA,365,NA,NA,NA,"08/28/2018"
13770780,"Super sunny and spacious! Privacy!",38404959,"Maria","Queens, Ditmars Steinway","(40.77697, -73.9082)","Private room","$60",10,"09/27/2018",0.38,364,4.55125715882419,12,0.904928447952198,"03/24/2018"
22250309,"Brownstone Apartment near Manhattan",62048197,"Adetoro","Brooklyn, Bedford-Stuyvesant","(40.68373, -73.93056)","Entire home/apt","$85",2,"05/05/2018",0.14,0,3.96561595453251,2.4,0.765655246163515,"10/30/2017"
32975089,"Amazing private room near subway (M,J, L,G trains)",248161322,"Sergii","Brooklyn, Bushwick","(40.70001, -73.93914000000002)","Private room","$64",0,NA,NA,338,NA,NA,NA,"02/06/2018"
21265628,"Fabulous Room in East Willamsburg!",20583151,"Deona","Brooklyn, Bushwick","(40.69779000000001, -73.92282)","Private room","$95",1,"05/19/2019",0.59,89,4.8396233753669,1.2,0.720851454831927,"11/13/2018"
10022956,"Huge room in 4 BR on Riverside",50539477,"Brian","Manhattan, Harlem","(40.82203, -73.95612)","Private room","$50",77,"06/02/2019",3.26,190,3.04268782684062,92.4,0.644056848985847,"11/27/2018"
19791924,"Spacious studio with private garden near The Met",112954746,"Miranda","Manhattan, Upper East Side","(40.77428, -73.95523)","Entire home/apt","$145",3,"07/30/2017",0.12,0,3.18508217688846,3.6,0.675299923668237,"01/24/2017"
3701890,"1 bedroom apartment on the UWS",3146957,"Alexandra","Manhattan, Upper West Side","(40.77918, -73.9874)","Entire home/apt","$160",5,"07/05/2016",0.09,0,3.53570760765577,6,0.610853477156819,"12/31/2015"
36236013,"READY BED GO the goal is to make u feel at home",256197494,"Emanuel","Brooklyn, Cypress Hills","(40.68042, -73.88978)","Private room","$75",1,"07/05/2019",1,82,3.5346202190789,1.2,0.732689392295586,"12/30/2018"
25918623,"Sunny & Cheery Bronx Home - with Chickens!",7558748,"Lily","Bronx, Mott Haven","(40.8084, -73.92036999999998)","Entire home/apt","$115",36,"06/29/2019",3.12,114,4.50990153937982,43.2,0.8221250009543,"12/24/2018"
31494165,"Sunny Cosy Private Room Hell's Kitchen & Broadway",33464426,"Natasha","Manhattan, Hell's Kitchen","(40.76453, -73.98527)","Private","$80",8,"05/29/2019",1.4,0,4.93321828190891,9.6,0.668834538722009,"11/23/2018"
34723111,"Modern 3 Bedroom! Easy Access to Manhattan!",261904019,"Pete","Queens, Ridgewood","(40.70631, -73.89698)","Entire home/apt","$199",5,"07/01/2019",3.13,145,4.86208789659195,6,0.607352598295218,"12/26/2018"
17690331,"Quiet Bedroom in Central Bushwick, 16 mins to NYC",58953152,"Dmitry","Brooklyn, Bushwick","(40.69927, -73.91315999999998)","Private room","$42",12,"12/30/2018",1.26,0,3.92994629791944,14.4,0.757863975212939,"06/26/2018"
25817508,"Brand new space ! ... safe, peaceful and relaxing.",194004304,"Norjia","Manhattan, Washington Heights","(40.84782, -73.93954000000002)","Private room","$85",9,"01/01/2019",0.79,80,4.94877677165403,10.8,0.857692862877833,"06/28/2018"
20783900,"Marvelous Manhattan Marble Hill Private Suites",148960265,"Randy","Manhattan, Marble Hill","(40.87618, -73.91266)","Private room","$93",7,"10/06/2018",0.32,0,4.86803615194118,8.4,0.609262529937683,"02/17/2020"
13082571,"Garden Overlook",72318418,"Francisca","Brooklyn, Crown Heights","(40.67002, -73.92054)","Private room","$69",132,"06/24/2019",3.46,365,4.91411754827126,158.4,0.926021475909718,"12/19/2018"
9791355,"Beautiful studio in Gramercy Park",50463621,"Josh","Manhattan, Kips Bay","(40.7412, -73.98170999999998)","Entire home/apt","$110",0,NA,NA,0,NA,NA,NA,"07/11/2018"
34207673,"Manhattan Midtown West - Modern Single Hotel Room",252604696,"Erin","Manhattan, Chelsea","(40.74899, -73.99605)","Private room","$159",0,NA,NA,359,NA,NA,NA,"05/10/2018"
35200165,"Twin bed in hostel with other guests",201813482,"Nick","Brooklyn, Bushwick","(40.70508, -73.91577)","Shared room","$25",0,NA,NA,346,NA,NA,NA,"07/20/2018"
26749730,"KID-friendly 2BR apartment - heart of Williamsburg",8654731,"Juan","Brooklyn, Williamsburg","(40.70945, -73.95843)","Entire home/apt","$289",32,"04/21/2019",3.06,60,3.99295044365622,38.4,0.782218688629356,"10/16/2018"
6141561,"Beautiful room & Amazing location",6984488,"Jessica","Brooklyn, Prospect Heights","(40.67483, -73.9646)","Private room","$125",16,"10/30/2016",0.32,339,3.09170613248039,19.2,0.610387065767917,"04/26/2016"
28513774,"Cozy 2 Bedroom Apt w/ Patio & Hot Tub near Trains",108249932,"Yngrid And Jiovanni","Brooklyn, East New York","(40.6757, -73.88925)","Entire home/apt","$175",22,"06/30/2019",2.89,285,3.48663160937658,26.4,0.728319639193843,"12/25/2018"
20542510,"Room 1 Private Lower Level Getaway w/ Window  (Lower Level 1)",104927746,"Amardeep","Staten Island, Concord","(40.59669, -74.08645)","Private room","$32",45,"04/21/2019",2.09,333,4.10791326939664,54,0.646563079874165,"10/16/2018"
24171777,"Luxury Triplex with Roofdeck",6489789,"Tim","Brooklyn, Gowanus","(40.68159, -73.98075)","Entire home/apt","$450",3,"04/03/2019",0.35,22,3.62282503513418,3.6,0.785190264769229,"09/28/2018"
1908852,"Oversized Studio By Columbus Circle",684629,"Alana","Manhattan, Upper West Side","(40.7706, -73.98919000000002)","Entire home/apt","$189",7,"05/06/2016",0.13,0,4.8412036569867,8.4,0.725994801928306,"09/17/2017"
9695052,"Owl's Landing - The Twins",50068597,"Alex","Staten Island, Stapleton","(40.63573, -74.0772)","Private room","$48",112,"07/02/2019",2.6,316,3.5729923084264,134.4,0.636083392118955,"12/27/2018"
22841280,"RARE & Spacious Brooklyn Brownstone! Great Area!",26243777,"Jami","Brooklyn, Bedford-Stuyvesant","(40.68729, -73.92949)","Entire home/apt","$125",6,"04/19/2019",0.36,0,4.34298254150014,7.2,0.718121157698693,"10/14/2018"
17481484,"Brooklyn Apartment",118430352,"Austin","Brooklyn, Crown Heights","(40.67519, -73.9402)","Private room","$75",0,NA,NA,0,NA,NA,NA,"05/15/2018"
18858761,"Private Entrance Astoria Five min walk to subway",131392140,"Vik","Queens, Astoria","(40.77407, -73.92262)","Entire home/apt","$125",49,"03/17/2019",1.99,86,4.38634894927806,58.8,0.765054296226876,"09/11/2018"
17634206,"One Room Apartment Next to Columbus Circle",119930068,"Arturo","Manhattan, Hell's Kitchen","(40.76699, -73.9848)","Entire home/apt","$130",4,"03/19/2017",0.14,0,4.4574766744733,4.8,0.684520730736615,"09/13/2016"
9390729,"Manhattan Brownstone Great Location",15280538,"Elisabeth","Manhattan, East Harlem","(40.78758, -73.95026)","Entire home/apt","$465",74,"07/06/2019",1.67,62,3.87184194989546,88.8,0.604423719702855,"12/31/2018"
34035610,"Private Room in a Beautiful Ridgewood Apartment",128605205,"Tom","Queens, Ridgewood","(40.7066, -73.91391999999998)","Private room","$100",0,NA,NA,3,NA,NA,NA,"09/23/2018"
13039849,"Peaceful, cozy, artistic studio.",283116,"Lorie","Queens, Sunnyside","(40.74625, -73.91643)","Entire home/apt","$75",0,NA,NA,0,NA,NA,NA,"08/26/2018"
24539281,"43rd Street “TIME SQUARE”
Single bed.",30985759,"Taz","Manhattan, Hell's Kitchen","(40.75792, -73.99172)","Shared room","$65",108,"06/23/2019",7.33,325,3.09050233620788,129.6,0.763191826603935,"12/18/2018"
33621795,"Queen Room",257565053,"The Redford","Manhattan, Lower East Side","(40.7211, -73.9893)","Private room","$135",0,NA,NA,162,NA,NA,NA,"09/02/2018"
22797190,"Large 1 bedroom apartment East Village / Gramercy!",9374496,"Svetlana","Manhattan, Gramercy","(40.73307, -73.98347)","Entire home/apt","$150",16,"06/23/2019",0.9,0,4.46140310228244,19.2,0.755092036649032,"12/18/2018"
30937306,"Hart Street Garden Apartment",34119511,"Charles","Brooklyn, Bedford-Stuyvesant","(40.69406, -73.93321)","Private","$30",1,"12/23/2018",0.15,0,3.92057607712145,1.2,0.626262516943147,"06/19/2018"
21357792,"Stylish room in lush Williamsburg apartment",111969257,"Jae","Brooklyn, Williamsburg","(40.71619000000001, -73.9441)","Private room","$90",3,"07/12/2018",0.15,0,3.2433553035859,3.6,0.613728344598482,"01/06/2018"
34912334,"Sunny Private 1BR Suite w/Kitchen/Bath @A/C Lines",81325020,"Matt & Crutch","Brooklyn, Bedford-Stuyvesant","(40.67916, -73.92559)","Entire home/apt","$85",3,"06/22/2019",2.05,43,4.35553982103651,3.6,0.75210200974096,"12/17/2018"
8776479,"East Williamsburg / Bushwick loft",8822845,"Adam","Brooklyn, Williamsburg","(40.70353, -73.93482)","Entire home/apt","$140",16,"03/15/2019",0.49,1,3.1926797599454,19.2,0.641560967683452,"09/09/2018"
15732778,"Huge space across from park, easy to Manhattan",3398280,"Megan","Brooklyn, Prospect-Lefferts Gardens","(40.65776, -73.96174)","Private room","$65",3,"04/30/2019",0.39,35,3.36169103897813,3.6,0.604897360884626,"10/25/2018"
7319856,"450ft Square Studio in Gramercy NY",11773680,"Adam","Manhattan, Kips Bay","(40.73813, -73.98098)","Entire home/apt","$289",4,"05/22/2016",0.09,225,3.90376400224354,4.8,0.756381044081928,"11/17/2015"
7761394,"One room in a 4 Bedroom apt.",40812084,"Chris","Brooklyn, Bedford-Stuyvesant","(40.68647, -73.92494)","Private room","$45",2,"09/29/2015",0.04,0,3.47813380079212,2.4,0.783112422175916,"03/26/2015"
21867440,"Charming, Cozy Apartment in the Heart of Bushwick!",29599980,"Leslie","Brooklyn, Bushwick","(40.70636, -73.91935)","Entire home/apt","$41",1,"01/01/2018",0.05,0,4.15618186025087,1.2,0.668767962325464,"06/28/2017"
10019335,"Your home in the historic district",48818023,"Sarah","Manhattan, Harlem","(40.82909, -73.94183000000002)","Entire home/apt","$78",0,NA,NA,0,NA,NA,NA,"05/24/2018"
21691896,"Spacious Brooklyn Townhouse with Garden",21248,"Toto","Brooklyn, Sunset Park","(40.65015, -74.01084)","Entire home/apt","$300",1,"12/08/2017",0.05,0,4.68559596295423,1.2,0.617517300409251,"06/04/2017"
7733241,"Amazing room in Williamsburg House",16683784,"Charles","Brooklyn, Williamsburg","(40.71375, -73.94341999999997)","Private room","$72",5,"06/30/2017",0.11,0,3.54177640375402,6,0.76568532091416,"12/25/2016"
411525,"Beautiful Room + Private Balcony",1697784,"Jonathan","Brooklyn, Williamsburg","(40.71472, -73.96225)","Private room","$120",62,"05/17/2019",0.7,15,3.84260546168626,74.4,0.700212289806884,"11/11/2018"
13992442,"Comfortable 1-bedroom in South Slope",57509618,"Kelly","Brooklyn, Sunset Park","(40.66206, -73.99767)","Private room","$50",0,NA,NA,0,NA,NA,NA,"08/08/2018"
4384820,"N 6th & Bedford PRIME Williamsburg",22764554,"Linda","Brooklyn, Williamsburg","(40.71797, -73.95981)","Private room","$135",1,"11/04/2014",0.02,0,3.76279061067401,1.2,0.659059267076144,"05/01/2014"
13747861,"Sunny Bed Stuy Haven",7009626,"Halle","Brooklyn, Bedford-Stuyvesant","(40.68952, -73.94309)","Entire home/apt","$295",16,"07/30/2017",0.44,0,3.24863461767923,19.2,0.783360429279047,"01/24/2017"
1967045,"Top Floor Brooklyn Pad 1.5Bd/1Bth",9975193,"Julianna & Lawrence","Brooklyn, Park Slope","(40.67694, -73.9813)","Entire home/apt","$180",6,"07/30/2018",0.13,0,3.09935619019196,7.2,0.752900148853886,"01/24/2018"
9716437,"Chill Gramercy Flat",956269,"Justin","Manhattan, Gramercy","(40.73725, -73.98439)","Entire home/apt","$195",19,"06/21/2019",0.43,34,3.93345873993721,22.8,0.77113316679614,"12/16/2018"
14745847,"Beautifu large studio in the heart  of Manhattan",39939354,"Roberto","Manhattan, Midtown","(40.75797, -73.97004)","Entire home/apt","$150",29,"06/22/2019",0.86,31,4.31489586967883,34.8,0.710576443122504,"12/17/2018"
36450318,"LUXURY, PRIVATE APT ACROSS FROM EMPIRE STATE",151831356,"Michael","Manhattan, Midtown","(40.74607, -73.98599)","Entire home/apt","$199",0,NA,NA,14,NA,NA,NA,"03/22/2018"
5613334,"Beautiful room in Brownstone  Bklyn",7322898,"Clemencia","Brooklyn, Prospect Heights","(40.67928, -73.97013000000003)","Private room","$110",0,NA,NA,0,NA,NA,NA,"07/16/2018"
16465690,"Room in the heart of East Village",52243881,"Andrea","Manhattan, East Village","(40.7232, -73.98223)","Private room","$90",8,"01/02/2018",0.26,0,4.00520008624633,9.6,0.699692563130335,"06/29/2017"
57618,"Great new apt, close to everything",274557,"Ana","Manhattan, Hell's Kitchen","(40.7672, -73.98508000000002)","Entire home/apt","$250",94,"06/09/2019",0.96,3,4.41698574997111,112.8,0.687041193472516,"12/04/2018"
8796283,"Sunny flat in lovely brownstone",9138796,"Eli And Maggie","Brooklyn, Bedford-Stuyvesant","(40.68967, -73.93381)","Entire home/apt","$130",115,"06/23/2019",2.83,49,3.52071815755965,138,0.601116211535079,"12/18/2018"
13378096,"Bushwick 1 Bedroom",16626798,"Chelsea","Brooklyn, Bushwick","(40.70222, -73.92947)","Private room","$65",0,NA,NA,0,NA,NA,NA,"03/09/2018"
9539912,"1BDRM 25 min subway to Times sq",49411357,"Viacheslav","Queens, Forest Hills","(40.71425, -73.84503000000002)","Entire home/apt","$100",0,NA,NA,0,NA,NA,NA,"04/30/2018"
32635722,"Sonder | Stock Exchange | Modern 2BR + Kitchen",219517861,"Sonder (NYC)","Manhattan, Financial District","(40.70608, -74.01111999999998)","Entire home/apt","$416",7,"06/08/2019",1.72,338,4.13344350174169,8.4,0.640389326767864,"12/03/2018"
31165324,"Furnished room in beautiful spacious duplex",44409079,"Mariana","Brooklyn, Williamsburg","(40.71198, -73.94807)","Private room","$125",0,NA,NA,340,NA,NA,NA,"02/23/2018"
22480570,"Sunny & Cozy Double Bedroom with private entrance",22382224,"Meryem","Brooklyn, Windsor Terrace","(40.66023, -73.9804)","PRIVATE ROOM","$85",6,"04/02/2018",0.33,0,3.87937665437134,7.2,0.740707323518762,"09/27/2017"
35549378,"A dreamy stay",267476000,"Xanthi","Manhattan, Hell's Kitchen","(40.76369, -73.98891)","Private room","$100",0,NA,NA,167,NA,NA,NA,"09/06/2018"
7222354,"Sunny Upper East Side Apt, Balcony",18489745,"Fon","Manhattan, Upper East Side","(40.76446, -73.95603)","PRIVATE ROOM","$86",2,"03/13/2016",0.04,0,3.67410502400939,2.4,0.702591974082169,"09/08/2015"
19100971,"Spacious Bedroom with lots of Natural Light",81745867,"Jacqueline","Manhattan, Washington Heights","(40.84917, -73.94048000000002)","Private room","$70",2,"06/25/2018",0.16,0,3.30749906463538,2.4,0.700394570263687,"12/20/2017"
8816465,"Large, Sunny Family-Friendly Apt. (Smoke-Free)",40800505,"Beverly","Brooklyn, Bedford-Stuyvesant","(40.68691, -73.93294)","Entire home/apt","$135",29,"11/10/2018",0.65,268,4.58771690994777,34.8,0.888762006474077,"05/07/2018"
19936586,"Huge Sunny room in BedStuy (musician friendly)",26091462,"Tanya","Brooklyn, Bedford-Stuyvesant","(40.69499, -73.94921)","Private room","$100",1,"11/05/2017",0.05,0,4.85265242860431,1.2,0.704552858447081,"05/02/2017"
9495205,"Comfy & Sunny Studio Rental",33058791,"Amanda","Brooklyn, Clinton Hill","(40.6858, -73.96789)","Entire home/apt","$180",0,NA,NA,0,NA,NA,NA,"05/04/2018"
18042238,"Airy one bedroom in Crown Heights",100345999,"Leigh","Brooklyn, Crown Heights","(40.67544, -73.95655)","Entire home/apt","$80",1,"04/28/2017",0.04,0,4.36334810192972,1.2,0.695115653886018,"10/23/2016"
21173148,"Sunny apartment, great amenties and transporation.",27231066,"Victoria","Manhattan, Harlem","(40.81138, -73.95442)","Entire home/apt","$165",22,"05/27/2019",1.03,0,3.87746792195006,26.4,0.686272065492126,"11/21/2018"
21394300,"Entire 1BR Beautiful Williamsburg Apartment",205055,"Clare","Brooklyn, Williamsburg","(40.71923, -73.95515)","Entire home/apt","$150",3,"01/04/2018",0.15,0,3.28948570057366,3.6,0.75984361519751,"07/01/2017"
20978898,"Lovely Bushwick Townhouse - steps from subway!",150965627,"Anna","Brooklyn, Bushwick","(40.6838, -73.91015)","Private room","$40",8,"11/01/2018",0.36,0,4.53321706888349,9.6,0.762564095084168,"04/28/2018"
18873598,"Lovely one bedroom suite in midtown manhattan",120762452,"Stanley","Manhattan, Murray Hill","(40.74966, -73.97601)","Entire home/apt","$175",0,NA,NA,180,NA,NA,NA,"09/10/2018"
11547246,"Large, sunny room - Lower East Side",22551065,"Tamir","Manhattan, Lower East Side","(40.71931, -73.98393)","Private room","$85",1,"05/16/2016",0.03,0,4.29827385320016,1.2,0.632850856908206,"11/11/2015"
34937287,"4Bed Penthouse! Terrace! Location! 5th Ave",133996326,"Grant","Manhattan, Flatiron District","(40.74312000000001, -73.98977)","Entire home/apt","$459",5,"07/07/2019",4.29,354,4.36462324604202,6,0.717615619131153,"01/01/2019"
12084205,"East Village 1B in 3B apt",51924404,"Angela","Manhattan, East Village","(40.72966, -73.98476)","Private room","$56",2,"06/01/2016",0.05,0,4.69063780676361,2.4,0.662361456730516,"11/27/2015"
35348683,"Central Park/Times Square Luxury Suite",16830841,"Mara","Manhattan, Midtown","(40.76372, -73.98182)","Private room","$358",2,"07/01/2019",2,322,4.45774729534054,2.4,0.704890595086894,"12/26/2018"
18109852,"Sunny high-ceiling, large-windows, Bushwick apt",5168429,"Chris","Brooklyn, Bushwick","(40.69511, -73.90715)","Private room","$65",17,"01/12/2019",0.66,11,4.02720254014485,20.4,0.697470867354489,"07/09/2018"
11378048,"Charming One Bedroom in Boerum Hill",4161553,"Michael","Brooklyn, Gowanus","(40.6848, -73.98894)","Entire home/apt","$120",5,"05/09/2016",0.13,0,3.30945764061719,6,0.769731805999013,"11/04/2015"
14913197,"Serene & Clean Cuartito with Garden View",60852834,"Manny & Gemma","Brooklyn, Greenpoint","(40.72948, -73.94918)","Private room","$56",154,"06/15/2019",4.49,44,3.90994654177398,184.8,0.730000337865948,"12/10/2018"
27059366,"Your own 2 bedroom Home in NYC",97168718,"Chloe","Manhattan, Upper West Side","(40.78802, -73.97253)","Entire home/apt","$250",0,NA,NA,38,NA,NA,NA,"05/25/2018"
30184570,"Cozy room in the heart of Williamsburg.",188477517,"Jane","Brooklyn, Williamsburg","(40.7107, -73.95846)","Private room","$100",1,"12/09/2018",0.14,0,4.02194865880966,1.2,0.62513812208684,"06/05/2018"
36077745,"AMAZING LARGE ONE BEDROOM IN WILLIAMSBURG!!",266752544,"Haily","Brooklyn, Williamsburg","(40.71527, -73.93852)","Entire home/apt","$299",2,"07/03/2019",2,178,3.84787247746842,2.4,0.721492415859317,"12/28/2018"
5105805,"Best Location in Midtown Manhattan",8329975,"Gore","Manhattan, Hell's Kitchen","(40.76645, -73.98539)","Entire home/apt","$150",15,"06/29/2019",0.41,5,3.9424137964095,18,0.655189600499399,"12/24/2018"
4050765,"Harmony House 3 on Madison Street",21014758,"Garnet","Brooklyn, Bedford-Stuyvesant","(40.68852, -73.92393)","Private room","$38",50,"06/25/2019",1.35,126,3.81735092005756,60,0.772770493955264,"12/20/2018"
30392986,"Peaceful Chelsea 1BR w/ Balcony, Doorman + Gym by Blueground",107434423,"Blueground","Manhattan, Chelsea","(40.7388, -73.997)","Entire home/apt","$361",0,NA,NA,157,NA,NA,NA,"05/26/2018"
